-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.034,  0.148
-183.800, 80.198, 0.033,  0.181
-183.800, 80.196, 0.038,  0.214
-183.800, 80.193, 0.115,  0.247
-183.799, 80.185, 0.222,  0.280
-183.798, 80.174, 0.340,  0.313
-183.796, 80.158, 0.557,  0.346
-183.794, 80.131, 0.825,  0.379
-183.792, 80.096, 1.051,  0.412
-183.789, 80.054, 1.252,  0.445
-183.785, 80.007, 1.432,  0.478
-183.781, 79.954, 1.587,  0.511
-183.777, 79.898, 1.713,  0.544
-183.772, 79.838, 1.810,  0.577
-183.768, 79.776, 1.879,  0.610
-183.763, 79.713, 1.920,  0.643
-183.758, 79.649, 1.937,  0.676
-183.753, 79.586, 1.929,  0.709
-183.748, 79.523, 1.910,  0.742
-183.743, 79.461, 1.886,  0.775
-183.738, 79.400, 1.861,  0.808
-183.733, 79.339, 1.836,  0.841
-183.728, 79.280, 1.812,  0.874
-183.723, 79.221, 1.790,  0.907
-183.718, 79.163, 1.771,  0.940
-183.713, 79.105, 1.755,  0.973
-183.708, 79.047, 1.743,  1.006
-183.703, 78.990, 1.735,  1.039
-183.698, 78.932, 1.731,  1.072
-183.693, 78.875, 1.730,  1.105
-183.688, 78.818, 1.732,  1.138
-183.682, 78.760, 1.737,  1.171
-183.677, 78.702, 1.744,  1.204
-183.672, 78.644, 1.752,  1.237
-183.666, 78.586, 1.761,  1.270
-183.661, 78.527, 1.771,  1.303
-183.655, 78.468, 1.781,  1.336
-183.650, 78.409, 1.790,  1.369
-183.644, 78.349, 1.798,  1.402
-183.638, 78.289, 1.806,  1.435
-183.632, 78.229, 1.812,  1.468
-183.627, 78.169, 1.817,  1.501
-183.621, 78.108, 1.822,  1.534
-183.615, 78.048, 1.825,  1.567
-183.609, 77.987, 1.828,  1.600
-183.603, 77.926, 1.831,  1.633
-183.597, 77.866, 1.833,  1.666
-183.591, 77.805, 1.835,  1.699
-183.585, 77.744, 1.837,  1.732
